trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.5, 'e': 0.9335000013999981}",25,0,-116.76740223329523,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
43,False,"{'a': 0.5, 'e': 0.9319166680999981}",35,10,-67.52660296957296,"{0: 17, 1: 2, 2: 4, 3: 2, 4: 0}",1
44,False,"{'a': 0.5, 'e': 0.930333334799998}",25,0,-163.7188571956388,"{0: 15, 1: 0, 2: 6, 3: 2, 4: 2}",0
45,False,"{'a': 0.5, 'e': 0.928750001499998}",20,0,-57.83405010955662,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
46,False,"{'a': 0.5, 'e': 0.9271666681999979}",20,6,10.553885407134327,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
47,False,"{'a': 0.5, 'e': 0.9255833348999979}",35,0,-150.20098447603786,"{0: 24, 1: 2, 2: 5, 3: 2, 4: 2}",0
48,False,"{'a': 0.5, 'e': 0.9240000015999978}",35,0,-311.2718552059065,"{0: 20, 1: 1, 2: 5, 3: 4, 4: 5}",0
49,False,"{'a': 0.5, 'e': 0.9224166682999978}",30,14,-36.39408599534744,"{0: 10, 1: 4, 2: 1, 3: 1, 4: 0}",1
50,False,"{'a': 0.5, 'e': 0.9208333349999978}",20,0,-97.27896305793803,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
51,False,"{'a': 0.5, 'e': 0.9192500016999977}",30,0,-138.00874597455095,"{0: 19, 1: 0, 2: 8, 3: 2, 4: 1}",0
52,False,"{'a': 0.5, 'e': 0.9176666683999977}",25,0,-149.57421346034636,"{0: 13, 1: 5, 2: 4, 3: 1, 4: 2}",0
53,False,"{'a': 0.5, 'e': 0.9160833350999976}",30,0,-68.52643944425141,"{0: 21, 1: 2, 2: 5, 3: 2, 4: 0}",0
54,False,"{'a': 0.5, 'e': 0.9145000017999976}",20,11,-91.91075383563448,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 2}",1
55,False,"{'a': 0.5, 'e': 0.9129166684999975}",25,10,4.553317008484331,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
56,False,"{'a': 0.5, 'e': 0.9113333351999975}",20,5,-32.169949904917665,"{0: 11, 1: 0, 2: 3, 3: 1, 4: 0}",1
57,False,"{'a': 0.5, 'e': 0.9097500018999974}",25,0,-116.94078056993106,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
58,False,"{'a': 0.5, 'e': 0.9081666685999974}",35,0,-104.3941506693739,"{0: 25, 1: 1, 2: 7, 3: 1, 4: 1}",0
59,False,"{'a': 0.5, 'e': 0.9065833352999974}",25,0,-39.216210107428324,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
60,False,"{'a': 0.5, 'e': 0.9050000019999973}",25,0,-125.22077616587912,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
61,False,"{'a': 0.5, 'e': 0.9034166686999973}",25,0,-168.47486155902578,"{0: 12, 1: 0, 2: 10, 3: 2, 4: 1}",0
62,False,"{'a': 0.5, 'e': 0.9018333353999972}",20,14,-2.705905640685188,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
63,False,"{'a': 0.5, 'e': 0.9002500020999972}",25,0,-146.40310830360363,"{0: 13, 1: 1, 2: 8, 3: 2, 4: 1}",0
64,False,"{'a': 0.5, 'e': 0.8986666687999971}",25,0,-90.28354285029089,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
65,False,"{'a': 0.5, 'e': 0.8970833354999971}",25,0,-177.5934419116189,"{0: 11, 1: 4, 2: 7, 3: 1, 4: 2}",0
66,False,"{'a': 0.5, 'e': 0.895500002199997}",20,12,-49.04075601301982,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 1}",1
67,False,"{'a': 0.5, 'e': 0.893916668899997}",30,0,-158.73850650581483,"{0: 18, 1: 3, 2: 6, 3: 1, 4: 2}",0
68,False,"{'a': 0.5, 'e': 0.892333335599997}",20,0,-79.8119859165196,"{0: 10, 1: 5, 2: 3, 3: 2, 4: 0}",0
69,False,"{'a': 0.5, 'e': 0.8907500022999969}",30,5,-54.07831099649294,"{0: 18, 1: 3, 2: 2, 3: 2, 4: 0}",1
70,False,"{'a': 0.5, 'e': 0.8891666689999969}",30,15,-14.769683075674529,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 0}",1
71,False,"{'a': 0.5, 'e': 0.8875833356999968}",25,8,-83.01664936318203,"{0: 11, 1: 0, 2: 4, 3: 1, 4: 1}",1
72,False,"{'a': 0.5, 'e': 0.8860000023999968}",35,0,-228.45189748714614,"{0: 26, 1: 2, 2: 1, 3: 0, 4: 6}",0
73,False,"{'a': 0.5, 'e': 0.8844166690999967}",30,0,-126.59538693250425,"{0: 21, 1: 1, 2: 4, 3: 3, 4: 1}",0
