trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
196,False,"{'a': 0.5, 'e': 0.37719235356315695}",20,0,-34.773054710816034,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
197,False,"{'a': 0.5, 'e': 0.37531109885139957}",30,8,-47.79989183535786,"{0: 17, 1: 0, 2: 4, 3: 0, 4: 1}",1
198,False,"{'a': 0.5, 'e': 0.37343922693666093}",25,0,-33.4203100414413,"{0: 22, 1: 1, 2: 0, 3: 1, 4: 1}",0
199,False,"{'a': 0.5, 'e': 0.37157669102204571}",25,13,22.394186987434587,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
200,False,"{'a': 0.5, 'e': 0.36972344454405898}",25,14,-14.286413755395756,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 0}",1
201,False,"{'a': 0.5, 'e': 0.36787944117144233}",20,12,18.757908143577755,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
202,False,"{'a': 0.5, 'e': 0.36604463480401533}",20,11,3.8912889848585457,"{0: 7, 1: 2, 2: 0, 3: 0, 4: 0}",1
203,False,"{'a': 0.5, 'e': 0.36421897957152333}",25,0,-35.04675407110625,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
204,False,"{'a': 0.5, 'e': 0.36240242983249027}",20,8,4.131415909598283,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
205,False,"{'a': 0.5, 'e': 0.3605949401730783}",20,0,-26.479669374320235,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
206,False,"{'a': 0.5, 'e': 0.35879646540595161}",20,0,12.564066565904799,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
207,False,"{'a': 0.5, 'e': 0.35700696056914738}",20,13,4.146405800362027,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
208,False,"{'a': 0.5, 'e': 0.35522638092495151}",25,20,6.0373111629828,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
209,False,"{'a': 0.5, 'e': 0.35345468195878016}",20,16,7.695607410852899,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
210,False,"{'a': 0.5, 'e': 0.35169181937806693}",20,6,-20.40845424742191,"{0: 11, 1: 0, 2: 2, 3: 1, 4: 0}",1
211,False,"{'a': 0.5, 'e': 0.34993774911115533}",25,6,18.70456142552595,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
212,False,"{'a': 0.5, 'e': 0.34819242730619759}",20,0,27.66998273190113,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
213,False,"{'a': 0.5, 'e': 0.3464558103300574}",20,5,-14.718844212410563,"{0: 11, 1: 2, 2: 2, 3: 0, 4: 0}",1
214,False,"{'a': 0.5, 'e': 0.34472785476722018}",25,7,12.893477191465163,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
215,False,"{'a': 0.5, 'e': 0.34300851741870664}",20,13,-26.68575691682237,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
216,False,"{'a': 0.5, 'e': 0.34129775530099371}",25,0,-8.676470589970586,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",1
217,False,"{'a': 0.5, 'e': 0.33959552564493911}",25,0,10.60098807909441,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
218,False,"{'a': 0.5, 'e': 0.33790178589471304}",20,5,-22.652967952392107,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
219,False,"{'a': 0.5, 'e': 0.33621649370673334}",20,0,-2.005339864831455,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
220,False,"{'a': 0.5, 'e': 0.33453960694860763}",35,18,-14.194672612549674,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 0}",1
221,False,"{'a': 0.5, 'e': 0.33287108369807955}",25,6,-35.87904754912157,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 1}",1
222,False,"{'a': 0.5, 'e': 0.33121088224198098}",25,4,24.1760692721672,"{0: 20, 1: 1, 2: 0, 3: 0, 4: 0}",1
223,False,"{'a': 0.5, 'e': 0.32955896107518906}",25,10,-42.99952797571433,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 1}",1
224,False,"{'a': 0.5, 'e': 0.32791527889958855}",20,8,19.333369777297715,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
225,False,"{'a': 0.5, 'e': 0.32627979462303947}",20,11,13.803600228356705,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
226,False,"{'a': 0.5, 'e': 0.32465246735834974}",20,8,-4.340441633631194,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
227,False,"{'a': 0.5, 'e': 0.32303325642225289}",25,0,2.161203389100087,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
228,False,"{'a': 0.5, 'e': 0.32142212133439135}",20,8,-62.74355581120351,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 2}",1
229,False,"{'a': 0.5, 'e': 0.31981902181630384}",20,12,7.001123372177604,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
230,False,"{'a': 0.5, 'e': 0.31822391779041909}",30,0,-6.137452885822765,"{0: 25, 1: 1, 2: 4, 3: 0, 4: 0}",0
231,False,"{'a': 0.5, 'e': 0.31663676937905316}",20,11,-38.20076584516176,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 1}",1
232,False,"{'a': 0.5, 'e': 0.31505753690341332}",30,22,14.255227599816454,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
233,False,"{'a': 0.5, 'e': 0.31348618088260533}",25,14,15.97921924184881,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
234,False,"{'a': 0.5, 'e': 0.31192266203264674}",20,0,-26.517316636601638,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
235,False,"{'a': 0.5, 'e': 0.31036694126548503}",25,11,2.62855531843499,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
236,False,"{'a': 0.5, 'e': 0.30881897968801986}",20,9,3.8045650200808394,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
237,False,"{'a': 0.5, 'e': 0.30727873860113125}",25,5,34.86735199635487,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
238,False,"{'a': 0.5, 'e': 0.30574617949871175}",25,7,3.3912086549118765,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 0}",1
239,False,"{'a': 0.5, 'e': 0.30422126406670408}",25,10,12.114389860914098,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
240,False,"{'a': 0.5, 'e': 0.30270395418214285}",35,21,26.18078340157779,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
241,False,"{'a': 0.5, 'e': 0.30119421191220214}",20,10,11.747168860546235,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
242,False,"{'a': 0.5, 'e': 0.29969199951324632}",25,1,18.99984979716334,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 0}",1
243,False,"{'a': 0.5, 'e': 0.29819727942988739}",25,1,-63.23317566697764,"{0: 16, 1: 0, 2: 7, 3: 1, 4: 0}",1
244,False,"{'a': 0.5, 'e': 0.29671001429404525}",20,9,10.22505128330561,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
245,False,"{'a': 0.5, 'e': 0.29523016692401421}",20,0,20.55415132381424,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
246,False,"{'a': 0.5, 'e': 0.29375770032353277}",20,12,-28.666193594650544,"{0: 5, 1: 0, 2: 2, 3: 1, 4: 0}",1
247,False,"{'a': 0.5, 'e': 0.29229257768085942}",20,0,-5.847125782660332,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",1
248,False,"{'a': 0.5, 'e': 0.29083476236785155}",20,9,-16.760432712513612,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 0}",1
249,False,"{'a': 0.5, 'e': 0.28938421793905061}",25,13,20.528466109795318,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
250,False,"{'a': 0.5, 'e': 0.28794090813077022}",20,6,17.90117273353761,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
251,False,"{'a': 0.5, 'e': 0.28650479686019009}",20,7,-24.929963158327183,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 1}",1
252,False,"{'a': 0.5, 'e': 0.28507584822445353}",20,5,-41.84552118111116,"{0: 12, 1: 1, 2: 0, 3: 1, 4: 1}",1
253,False,"{'a': 0.5, 'e': 0.2836540264997704}",25,14,15.977830486499437,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
254,False,"{'a': 0.5, 'e': 0.28223929614052329}",30,16,-27.692795217072458,"{0: 10, 1: 1, 2: 2, 3: 1, 4: 0}",1
255,False,"{'a': 0.5, 'e': 0.28083162177837978}",30,13,3.311022756226164,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 0}",1
256,False,"{'a': 0.5, 'e': 0.27943096822140728}",20,6,7.033461860186536,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
257,False,"{'a': 0.5, 'e': 0.27803730045319414}",20,5,-1.9606830181634953,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
258,False,"{'a': 0.5, 'e': 0.27665058363197342}",25,12,-39.578669856926496,"{0: 9, 1: 1, 2: 1, 3: 2, 4: 0}",1
259,False,"{'a': 0.5, 'e': 0.27527078308975234}",20,2,-27.14181733701967,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
260,False,"{'a': 0.5, 'e': 0.27389786433144558}",20,12,2.7446037971712443,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
261,False,"{'a': 0.5, 'e': 0.27253179303401259}",20,1,24.163096170253063,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
262,False,"{'a': 0.5, 'e': 0.27117253504559991}",25,15,-0.9073232397542075,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
263,False,"{'a': 0.5, 'e': 0.26982005638468681}",30,8,22.359993694844047,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
264,False,"{'a': 0.5, 'e': 0.26847432323923659}",25,1,-13.303393465982035,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 1}",1
